date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:56	1353/1353	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:19:52%20GMT	https://hostelspaze.com/img/dispenser.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/dispenser.png	(from https://hostelspaze.com/)
21:06:56	2543/2543	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:19:47%20GMT	https://hostelspaze.com/img/contactless-food.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/contactless-food.png	(from https://hostelspaze.com/)
21:06:57	1735/1735	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:21:26%20GMT	https://hostelspaze.com/img/who.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/who.png	(from https://hostelspaze.com/)
21:06:57	1763/1763	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:20:20%20GMT	https://hostelspaze.com/img/masjk.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/masjk.png	(from https://hostelspaze.com/)
21:07:00	86351/86351	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1514f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Users/HP/Desktop/hostelspaze/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://hostelspaze.com/)
21:07:03	40829/40829	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:22:02%20GMT	https://hostelspaze.com/whatsapp/what.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/whatsapp/what.png	(from https://hostelspaze.com/)
21:07:03	443/443	---M--	200	added ('OK')	application/javascript	date:Mon,%2004%20Jan%202021%2010:21:52%20GMT	https://hostelspaze.com/js/profile.js	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/js/profile.js	(from https://hostelspaze.com/)
21:07:06	84345/84345	---M--	200	added ('OK')	application/javascript	date:Mon,%2004%20Jan%202021%2010:21:50%20GMT	https://hostelspaze.com/js/jquery-min.js	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/js/jquery-min.js	(from https://hostelspaze.com/)
21:07:08	50731/50731	---M--	200	added ('OK')	application/javascript	date:Mon,%2004%20Jan%202021%2010:21:44%20GMT	https://hostelspaze.com/js/bootstrap.min.js	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/js/bootstrap.min.js	(from https://hostelspaze.com/)
21:07:09	130/130	---M--	200	added ('OK')	application/javascript	date:Mon,%2004%20Jan%202021%2010:21:46%20GMT	https://hostelspaze.com/js/footer.js	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/js/footer.js	(from https://hostelspaze.com/)
